Complaint_ID,Citizen_Name,District,Department,Complaint_Type,Registered_Date,Resolution_Days,Current_Status,Assigned_Level
1001,Ramesh Kumar,Durg,Electricity,Power Outage in Ward 10,01-04-2026,2,Resolved,L3
1002,Sita Sahu,Raipur,Ration/Food,Ration Card Not Issued,01-04-2026,0,Pending,L2
1003,Amit Singh,Bilaspur,Municipal,Garbage Collection Issue,02-04-2026,1,Resolved,L3
1004,Naveen Sahu,Durg,Water Supply,No Water in Nehru Nagar,02-04-2026,4,Resolved,L3
1005,Priya Patel,Bastar,Health,Medicines Unavailable in PHC,03-04-2026,0,Pending,L2
1006,Rajesh Mandavi,Kanker,Revenue,Land Demarcation Delay,03-04-2026,0,Pending,L2
1007,Anjali Verma,Durg,Electricity,High Electricity Bill,04-04-2026,0,Pending,L1
1008,Vikram Chandrakar,Dhamtari,Agriculture,Kisan Subsidy Not Received,05-04-2026,7,Resolved,L3
1009,Suresh Korram,Surguja,Ration/Food,Ration Shop Closed frequently,05-04-2026,0,Pending,L2
1010,Deepak Yadav,Raipur,Municipal,Potholes on Main Road,06-04-2026,0,Pending,L2
1011,Citizen_1011,Bastar,Ration/Food,Sample Grievance Description 1011,07-04-2026,0,Pending,L2
1012,Citizen_1012,Durg,Municipal,Sample Grievance Description 1012,08-04-2026,3,Resolved,L3
1013,Citizen_1013,Raipur,Water Supply,Sample Grievance Description 1013,09-04-2026,4,Resolved,L3
1014,Citizen_1014,Bilaspur,Revenue,Sample Grievance Description 1014,10-04-2026,0,Pending,L2
1015,Citizen_1015,Bastar,Electricity,Sample Grievance Description 1015,11-04-2026,1,Resolved,L3
1016,Citizen_1016,Durg,Ration/Food,Sample Grievance Description 1016,12-04-2026,2,Resolved,L3
1017,Citizen_1017,Raipur,Municipal,Sample Grievance Description 1017,13-04-2026,0,Pending,L2
1018,Citizen_1018,Bilaspur,Water Supply,Sample Grievance Description 1018,14-04-2026,4,Resolved,L3
1019,Citizen_1019,Bastar,Revenue,Sample Grievance Description 1019,15-04-2026,5,Resolved,L3
1020,Citizen_1020,Durg,Electricity,Sample Grievance Description 1020,01-04-2026,0,Pending,L2
1021,Citizen_1021,Raipur,Ration/Food,Sample Grievance Description 1021,02-04-2026,2,Resolved,L3
1022,Citizen_1022,Bilaspur,Municipal,Sample Grievance Description 1022,03-04-2026,3,Resolved,L3
1023,Citizen_1023,Bastar,Water Supply,Sample Grievance Description 1023,04-04-2026,0,Pending,L2
1024,Citizen_1024,Durg,Revenue,Sample Grievance Description 1024,05-04-2026,5,Resolved,L3
1025,Citizen_1025,Raipur,Electricity,Sample Grievance Description 1025,06-04-2026,1,Resolved,L3
1026,Citizen_1026,Bilaspur,Ration/Food,Sample Grievance Description 1026,07-04-2026,0,Pending,L2
1027,Citizen_1027,Bastar,Municipal,Sample Grievance Description 1027,08-04-2026,3,Resolved,L3
1028,Citizen_1028,Durg,Water Supply,Sample Grievance Description 1028,09-04-2026,4,Resolved,L3
1029,Citizen_1029,Raipur,Revenue,Sample Grievance Description 1029,10-04-2026,0,Pending,L2
1030,Citizen_1030,Bilaspur,Electricity,Sample Grievance Description 1030,11-04-2026,1,Resolved,L3
1031,Citizen_1031,Bastar,Ration/Food,Sample Grievance Description 1031,12-04-2026,2,Resolved,L3
